run_name,preset,run_id,timestamp,wavlm_variant,use_pantagruel,use_residual,fusion_dim,aug_types_enabled,finetune_scope,k_folds,max_len_s,batch_size,accum_steps,effective_batch,epochs_max,lr,weight_decay,dropout,hidden_dim,input_dropout,focal_gamma,n_total,n_healthy_target,oof_balanced_accuracy,oof_macro_f1,oof_macro_auc_ovr,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,mean_macro_auc_ovr,std_macro_auc_ovr,notes
demo,test,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantagruel_wavlm_bp_kfold_aug,pantagruel_wavlm_bp,2,2026-08-05T14:31:03,base_plus,True,False,1792.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6516327221165931,0.6459114315824166,0.86378869279616,0.6502724358974359,0.0188646709898396,0.6397183296047377,0.0079417621692856,0.8668897691155838,0.0147672171386758,
pantagruel_wavlm_bp_residual_kfold_aug,pantagruel_wavlm_bp_residual,3,2026-08-05T15:09:33,base_plus,True,True,1824.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.649132722116593,0.6459175832985391,0.8628439164407666,0.6520352564102565,0.0507189259039992,0.6381848355342159,0.0455704572038731,0.8662966798614488,0.0235022896912994,
pantagruel_solo_kfold_aug,pantagruel_solo,4,2026-08-05T16:51:18,,True,False,1024.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6248444297637846,0.6049807143941941,0.837220192301265,0.6218269230769231,0.0374346076788712,0.6052097547744748,0.0302103583612477,0.8524185989765328,0.0229299784652254,
wavlm_bp_solo_kfold_aug,wavlm_bp_solo,5,2026-08-05T17:20:16,base_plus,False,False,768.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.5867008797653959,0.5696678438944685,0.80603728345343,0.5847756410256411,0.0655445534363154,0.5615747225178069,0.0540782676278326,0.8117615246327727,0.023829224677924,
pantagruel_residual_kfold_aug,pantagruel_residual,6,2026-08-06T10:22:49,,True,True,1056.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6589953594792304,0.6319683633116469,0.8614499143695526,0.6570352564102564,0.0368648267371705,0.6186091183438608,0.0447988043630865,0.8631912873760201,0.0220939599224669,
residual_solo_kfold_aug,residual_solo,7,2026-08-06T10:34:49,,False,True,32.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.4732841352196191,0.4466660534931344,0.7198811122514608,0.4724038461538461,0.0726456996830903,0.4529244425359784,0.0651369527411471,0.7130372173153938,0.0719239063904272,
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,8,2026-08-06T11:23:16,base_plus,False,True,800.0,signal+vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6056082627050369,0.5826825069493122,0.8254513028696202,0.604375,0.0671868573467422,0.5833063393312556,0.059733261276742,0.8282390437817814,0.0390062826577863,
pantagruel_wavlm_bp_residual_kfold_aug,pantagruel_wavlm_bp_residual,9,2026-08-06T12:09:52,base_plus,True,True,1824.0,vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6578377267893397,0.6468035397855348,0.8622664502058964,0.6587019230769231,0.0223343339935233,0.6414688706279894,0.0285003698726424,0.8718673040623578,0.018287255282731,
pantagruel_wavlm_bp_kfold_aug,pantagruel_wavlm_bp,10,2026-08-06T13:49:40,base_plus,True,False,1792.0,vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6374654377880185,0.6177211299899047,0.8688727955772231,0.6374679487179487,0.038769326358564,0.6215678770446194,0.034282114241505,0.8737924018327325,0.0118128194937162,
pantagruel_solo_kfold_aug,pantagruel_solo,11,2026-08-06T14:26:07,,True,False,1024.0,vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.5986766459347104,0.5844473798437992,0.851467002393918,0.5961217948717948,0.0317004841228429,0.581151790481922,0.0329940478354635,0.8597590876033643,0.0089838492257778,
wavlm_bp_solo_kfold_aug,wavlm_bp_solo,12,2026-08-06T14:48:46,base_plus,False,False,768.0,vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.5532393413038574,0.5485733596056184,0.8125470897798394,0.5546794871794871,0.0328995618336249,0.5480445173098938,0.0292844019531438,0.8160283346824843,0.0228542374804922,
